Folder,PDF Name,Issue Date,PDF Link
Legal,"Securities Contracts (Regulation) Rules, 1957 [Last amended on January 2, 2023]","Jan 02, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/sep-2023/1694508266399.pdf
Legal,"Securities Contracts (Regulation) (Amendment) Rules, 2022","Jan 02, 2023",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2023/1673241080836.pdf
Regulations,"Securities and Exchange Board of India (Index Providers) Regulations, 2024 [Last amended on November 28, 2024]",2024,https://www.sebi.gov.in/sebi_data/attachdocs/dec-2024/1733301376948.pdf
Advisory,Advisory on Communication with SEBI Officials,"Nov 07, 2024",https://www.sebi.gov.in/sebi_data/attachdocs/nov-2024/1730974610028.pdf
Circulars,Safer participation of retail investors in Algorithmic trading,"Feb 04, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/feb-2025/1738665456458.pdf
Circulars,Framework for Monitoring and Supervision of System Audit of Stock Brokers (SBs) through Technology based Measures,"Jan 31, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1738323780977.pdf
Circulars,Parameters for external evaluation of Performance of Statutory Committees of Market Infrastructure Institutions (MIIs); and Mechanism for internal evaluation of Performance of MIIs and its Statutory Committees,"Jan 30, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1738244648202.pdf
Circulars,"Details/clarifications on provisions related to association of persons regulated by the Board, MIIs, and their agents with persons engaged in prohibited activities","Jan 29, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1738152590849.pdf
Circulars,Format of Due Diligence Certificate to be given by the DTs,"Jan 28, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1738086075309.pdf
Circulars,Development of Web-based portal: iSPOT(Integrated SEBI Portal for Technical glitches) for reporting of technical glitches,"Jan 28, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1738063986526.pdf
Circulars,Timeline for Review of ESG Rating pursuant to occurrence of ‘Material Events’,"Jan 17, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1737443308558.pdf
Circulars,Disclosure of Risk adjusted Return - Information Ratio (IR) for Mutual Fund Schemes.,"Jan 17, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1737111319202.pdf
Circulars,Circular on Revise and Revamp Nomination Facilities in the Indian Securities Market,"Jan 10, 2025",https://www.sebi.gov.in/sebi_data/attachdocs/jan-2025/1737459697644.pdf
